pl_name,hostname,sys_name,discoverymethod,disc_year,pl_rade,pl_bmasse,sy_dist,disc_facility
30 Ari B b,30 Ari B,30 Ari B,Radial Velocity,2009,12.3,4392.4106,44.657,Thueringer Landessternwarte Tautenburg
PH1 b,PH1,PH1,Transit,2012,6.18,169,1033.16,Kepler
GJ 667 C b,GJ 667 C,GJ 667 C,Radial Velocity,2011,2.23,5.6,7.24396,La Silla Observatory
GJ 667 C c,GJ 667 C,GJ 667 C,Radial Velocity,2011,1.77,3.8,7.24396,La Silla Observatory
GJ 667 C e,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.45,2.7,7.24396,La Silla Observatory
GJ 667 C f,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.45,2.7,7.24396,La Silla Observatory
GJ 667 C g,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.99,4.6,7.24396,La Silla Observatory
Kepler-444 b,Kepler-444,Kepler-444,Transit,2015,0.403,0.0374,36.4396,Kepler
Kepler-444 c,Kepler-444,Kepler-444,Transit,2015,0.497,0.0793,36.4396,Kepler
Kepler-444 d,Kepler-444,Kepler-444,Transit,2015,0.53,0.2,36.4396,Kepler
Kepler-444 e,Kepler-444,Kepler-444,Transit,2015,0.546,0.1,36.4396,Kepler
Kepler-444 f,Kepler-444,Kepler-444,Transit,2015,0.741,0.332,36.4396,Kepler
HD 207832 b,HD 207832,HD 207832,Radial Velocity,2012,14.2,177.9848,58.9291,W. M. Keck Observatory
HD 207832 c,HD 207832,HD 207832,Radial Velocity,2012,14,232.0159,58.9291,W. M. Keck Observatory
HD 65216 b,HD 65216,HD 65216,Radial Velocity,2003,13.6,411.58985,35.1205,La Silla Observatory
HD 65216 c,HD 65216,HD 65216,Radial Velocity,2013,13.4,645.1949,35.1205,La Silla Observatory
K2-290 b,K2-290,K2-290,Transit,2019,3.06,10.9,272.909,K2
K2-290 c,K2-290,K2-290,Transit,2019,11.276,246.00042,272.909,K2
LTT 1445 A b,LTT 1445 A,LTT 1445 A,Transit,2019,1.305,2.87,6.86929,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A c,LTT 1445 A,LTT 1445 A,Transit,2022,1.147,1.54,6.86929,Transiting Exoplanet Survey Satellite (TESS)
TOI-942 b,TOI-942,TOI-942,Transit,2020,4.81,826.358,152.601,Transiting Exoplanet Survey Satellite (TESS)
TOI-942 c,TOI-942,TOI-942,Transit,2020,5.79,794.575,152.601,Transiting Exoplanet Survey Satellite (TESS)
16 Cyg B b,16 Cyg B,16 Cyg B,Radial Velocity,1996,13.5,565.7374,21.1397,Multiple Observatories
51 Eri b,51 Eri,51 Eri,Imaging,2015,13.4,635.66,29.7575,Gemini Observatory
91 Aqr b,91 Aqr,91 Aqr,Radial Velocity,2013,13.1,1017,44.0304,Lick Observatory
HAT-P-16 b,HAT-P-16,HAT-P-16,Transit,2010,14.448,1332.605,226.637,HATNet
HAT-P-35 b,HAT-P-35,HAT-P-35,Transit,2011,14.93,335.62848,506.965,HATNet
HAT-P-57 b,HAT-P-57,HAT-P-57,Transit,2015,19.504,448.1403,279.86,HATNet
HAT-P-8 b,HAT-P-8,HAT-P-8,Transit,2008,15.693,406.8224,211.553,HATNet
HD 126614 b,HD 126614,HD 126614,Radial Velocity,2009,13.6,119.96298,73.0961,W. M. Keck Observatory
HD 132563 b,HD 132563,HD 132563,Radial Velocity,2011,13.6,473.547,105.155,Roque de los Muchachos Observatory
HD 142245 b,HD 142245,HD 142245,Radial Velocity,2011,13.1,975.7381,97.2305,W. M. Keck Observatory
HD 178911 B b,HD 178911 B,HD 178911 B,Radial Velocity,2001,12.6,2552.1749,40.9727,W. M. Keck Observatory
HD 185269 b,HD 185269,HD 185269,Radial Velocity,2006,13.8,321.0083,51.9917,Lick Observatory
HD 196050 b,HD 196050,HD 196050,Radial Velocity,2002,13.1,1010.6994,50.6742,Anglo-Australian Telescope
HD 19994 b,HD 19994,HD 19994,Radial Velocity,2003,13.6,435.41,22.5242,La Silla Observatory
HD 2638 b,HD 2638,HD 2638,Radial Velocity,2005,14.3,133.4886,54.9621,La Silla Observatory
HD 26965 b,HD 26965,HD 26965,Radial Velocity,2018,2.84,8.47,5.03545,Multiple Observatories
HD 40979 b,HD 40979,HD 40979,Radial Velocity,2002,12.9,1484.2661,34.0883,Multiple Observatories
HD 4113 b,HD 4113,HD 4113,Radial Velocity,2007,13.5,542.78936,41.8727,La Silla Observatory
HD 43691 b,HD 43691,HD 43691,Radial Velocity,2007,13.2,810.4665,85.6009,Haute-Provence Observatory
HD 87646 b,HD 87646,HD 87646,Radial Velocity,2016,12.4,3941.092,73.58352,Apache Point Observatory
HW Vir b,HW Vir,HW Vir,Eclipse Timing Variations,2012,12.3,4602.90201,171.701,McDonald Observatory
K2-27 b,K2-27,K2-27,Transit,2016,4.48,30.9,249.645,K2
KELT-4 A b,KELT-4 A,KELT-4 A,Transit,2016,19.044,286.68266,218.05,KELT
KOI-13 b,KOI-13,KOI-13,Transit,2011,16.948,2949.4624,519.096,Kepler
Kepler-908 b,Kepler-908,Kepler-908,Transit,2016,1.22,1.98,290.843,Kepler
Proxima Cen b,Proxima Cen,Proxima Cen,Radial Velocity,2016,1.03,1.07,1.30119,European Southern Observatory
WASP-11 b,WASP-11,WASP-11,Transit,2008,12.442,251.0857,124.73,SuperWASP
WASP-12 b,WASP-12,WASP-12,Transit,2008,21.712,465.62095,427.246,SuperWASP
WASP-14 b,WASP-14,WASP-14,Transit,2008,15.468,2809.6172,161.997,SuperWASP
WASP-24 b,WASP-24,WASP-24,Transit,2010,15.468,394.1092,322.114,SuperWASP
WASP-3 b,WASP-3,WASP-3,Transit,2007,15.917,772.3269,231.161,SuperWASP
WD 1856+534 b,WD 1856+534,WD 1856+534,Transit,2020,10.4,4386.054,24.7359,Transiting Exoplanet Survey Satellite (TESS)
eps Ind A b,eps Ind A,eps Ind A,Radial Velocity,2019,13.1,1032.9475,3.63857,La Silla Observatory
psi1 Dra B b,psi1 Dra B,psi1 Dra B,Radial Velocity,2015,13.5,486.2799,22.7188,McDonald Observatory
Kepler-20 b,Kepler-20,Kepler-20,Transit,2011,1.868,9.7,282.563,Kepler
Kepler-20 c,Kepler-20,Kepler-20,Transit,2011,3.047,12.75,282.563,Kepler
Kepler-20 d,Kepler-20,Kepler-20,Transit,2011,2.744,10.07,282.563,Kepler
Kepler-20 e,Kepler-20,Kepler-20,Transit,2011,0.865,3.08,282.563,Kepler
Kepler-20 f,Kepler-20,Kepler-20,Transit,2011,1.003,14.3,282.563,Kepler
Kepler-20 g,Kepler-20,Kepler-20,Radial Velocity,2016,4.71,19.96,282.563,Multiple Observatories
55 Cnc b,55 Cnc,55 Cnc,Radial Velocity,1996,13.9,263.9785,12.5855,Lick Observatory
55 Cnc c,55 Cnc,55 Cnc,Radial Velocity,2004,8.51,54.4738,12.5855,McDonald Observatory
55 Cnc d,55 Cnc,55 Cnc,Radial Velocity,2002,13,1232.493,12.5855,Lick Observatory
55 Cnc e,55 Cnc,55 Cnc,Radial Velocity,2004,1.875,7.99,12.5855,McDonald Observatory
55 Cnc f,55 Cnc,55 Cnc,Radial Velocity,2007,7.59,44.812,12.5855,Multiple Observatories
HD 20781 b,HD 20781,HD 2078_,Radial Velocity,2019,1.21,1.93,35.9715,La Silla Observatory
HD 20781 c,HD 20781,HD 2078_,Radial Velocity,2019,2.17,5.33,35.9715,La Silla Observatory
HD 20781 d,HD 20781,HD 2078_,Radial Velocity,2019,3.25,10.61,35.9715,La Silla Observatory
HD 20781 e,HD 20781,HD 2078_,Radial Velocity,2019,3.83,14.03,35.9715,La Silla Observatory
HD 20782 b,HD 20782,HD 2078_,Radial Velocity,2006,13.6,472.83,35.9864,Anglo-Australian Telescope
Kepler-296 b,Kepler-296,Kepler-296,Transit,2014,1.61,3.22,167,Kepler
Kepler-296 c,Kepler-296,Kepler-296,Transit,2014,2,4.66,167,Kepler
Kepler-296 d,Kepler-296,Kepler-296,Transit,2014,2.09,5.02,167,Kepler
Kepler-296 e,Kepler-296,Kepler-296,Transit,2014,1.53,2.96,167,Kepler
Kepler-296 f,Kepler-296,Kepler-296,Transit,2014,1.8,3.89,167,Kepler
GJ 676 A b,GJ 676 A,GJ 676 A,Radial Velocity,2010,12.8,1837.01057,16.0272,La Silla Observatory
GJ 676 A c,GJ 676 A,GJ 676 A,Radial Velocity,2016,12.3,4271.00959,16.0272,Paranal Observatory
GJ 676 A d,GJ 676 A,GJ 676 A,Radial Velocity,2012,1.77,3.79832,16.0272,La Silla Observatory
GJ 676 A e,GJ 676 A,GJ 676 A,Radial Velocity,2012,2.48,6.69167,16.0272,La Silla Observatory
K2-266 b,K2-266,K2-266,Transit,2018,3.3,11.26782,77.5586,K2
K2-266 c,K2-266,K2-266,Transit,2018,0.705,0.29013,77.5586,K2
K2-266 d,K2-266,K2-266,Transit,2018,2.93,8.9,77.5586,K2
K2-266 e,K2-266,K2-266,Transit,2018,2.73,14.3,77.5586,K2
K2-32 b,K2-32,K2-32,Transit,2016,5.299,15,157.682,K2
K2-32 c,K2-32,K2-32,Transit,2016,3.134,8.1,157.682,K2
K2-32 d,K2-32,K2-32,Transit,2016,3.484,6.7,157.682,K2
K2-32 e,K2-32,K2-32,Transit,2019,1.212,2.1,157.682,K2
KOI-94 b,KOI-94,KOI-94,Transit,2013,1.71,10.5,477.052,Kepler
KOI-94 c,KOI-94,KOI-94,Transit,2013,4.32,15.6,477.052,Kepler
KOI-94 d,KOI-94,KOI-94,Transit,2013,11.27,106,477.052,Kepler
KOI-94 e,KOI-94,KOI-94,Transit,2013,6.56,35,477.052,Kepler
Kepler-132 b,Kepler-132,Kepler-132,Transit,2014,1.21,1.92,349.549,Kepler
Kepler-132 c,Kepler-132,Kepler-132,Transit,2014,1.28,2.18,349.549,Kepler
Kepler-132 d,Kepler-132,Kepler-132,Transit,2014,1.55,3.02,349.549,Kepler
Kepler-132 e,Kepler-132,Kepler-132,Transit,2016,1.18,1.76,349.549,Kepler
Kepler-167 b,Kepler-167,Kepler-167,Transit,2014,1.718,3.6,341.908,Kepler
Kepler-167 c,Kepler-167,Kepler-167,Transit,2014,1.674,3.44,341.908,Kepler
Kepler-167 d,Kepler-167,Kepler-167,Transit,2016,1.238,2.06,341.908,Kepler
Kepler-167 e,Kepler-167,Kepler-167,Transit,2016,10.16,321.00669,341.908,Kepler
Kepler-197 b,Kepler-197,Kepler-197,Transit,2014,1.02,1.04,330.575,Kepler
Kepler-197 c,Kepler-197,Kepler-197,Transit,2014,1.23,5.3,330.575,Kepler
Kepler-197 d,Kepler-197,Kepler-197,Transit,2014,1.22,1.98,330.575,Kepler
Kepler-197 e,Kepler-197,Kepler-197,Transit,2014,0.91,0.693,330.575,Kepler
Kepler-411 b,Kepler-411,Kepler-411,Transit,2013,2.401,25.6,153.676,Kepler
Kepler-411 c,Kepler-411,Kepler-411,Transit,2016,4.421,26.4,153.676,Kepler
Kepler-411 d,Kepler-411,Kepler-411,Transit,2018,3.319,15.2,153.676,Kepler
Kepler-411 e,Kepler-411,Kepler-411,Transit Timing Variations,2018,3.28,10.8,153.676,Kepler
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2MASS J19383260+4603591,Eclipse Timing Variations,2015,13.4,603.877,396.332,Kepler
HD 125612 b,HD 125612,HD 125612,Radial Velocity,2007,13.2,944.27564,57.6207,W. M. Keck Observatory
HD 125612 c,HD 125612,HD 125612,Radial Velocity,2009,4.01,15.17685,57.6207,La Silla Observatory
HD 125612 d,HD 125612,HD 125612,Radial Velocity,2009,12.6,2352.38976,57.6207,La Silla Observatory
HD 133131 A b,HD 133131 A,HD 133131 A,Radial Velocity,2016,13.6,451.3186,51.4736,Las Campanas Observatory
HD 133131 A c,HD 133131 A,HD 133131 A,Radial Velocity,2016,14.3,133.4886,51.4736,Las Campanas Observatory
HD 133131 B b,HD 133131 B,HD 133131 B,Radial Velocity,2016,13.3,794.575,51.2993,Las Campanas Observatory
HD 142 A d,HD 142,HD 142,Radial Velocity,2022,10.8,81.62789,26.1853,Multiple Observatories
HD 142 b,HD 142,HD 142,Radial Velocity,2001,13.7,395.51812,26.1853,Anglo-Australian Telescope
HD 142 c,HD 142,HD 142,Radial Velocity,2012,12.4,3521.33769,26.1853,Anglo-Australian Telescope
HR 858 b,HR 858,HR 858,Transit,2019,2.085,5,31.964,Transiting Exoplanet Survey Satellite (TESS)
HR 858 c,HR 858,HR 858,Transit,2019,1.939,4.42,31.964,Transiting Exoplanet Survey Satellite (TESS)
HR 858 d,HR 858,HR 858,Transit,2019,2.164,5.32,31.964,Transiting Exoplanet Survey Satellite (TESS)
K2-136 b,K2-136,K2-136,Transit,2017,0.99,0.937,59.2474,K2
K2-136 c,K2-136,K2-136,Transit,2017,2.91,8.8,59.2474,K2
K2-136 d,K2-136,K2-136,Transit,2017,1.45,2.7,59.2474,K2
K2-148 b,K2-148,K2-148,Transit,2018,1.33,2.33,124.458,K2
K2-148 c,K2-148,K2-148,Transit,2018,1.73,3.64,124.458,K2
K2-148 d,K2-148,K2-148,Transit,2018,1.64,3.33,124.458,K2
Kepler-104 b,Kepler-104,Kepler-104,Transit,2014,3.1,19.6,400.785,Kepler
Kepler-104 c,Kepler-104,Kepler-104,Transit,2014,3.13,9.96,400.785,Kepler
Kepler-104 d,Kepler-104,Kepler-104,Transit,2014,3.58,12.5,400.785,Kepler
Kepler-1130 b,Kepler-1130,Kepler-1130,Transit,2016,0.8,0.437,249.343,Kepler
Kepler-1130 c,Kepler-1130,Kepler-1130,Transit,2021,0.792,0.422,249.343,Kepler
Kepler-1130 d,Kepler-1130,Kepler-1130,Transit,2021,0.645,0.202,249.343,Kepler
Kepler-130 b,Kepler-130,Kepler-130,Transit,2014,1.02,1.04,316.663,Kepler
Kepler-130 c,Kepler-130,Kepler-130,Transit,2014,2.9,8.75,316.663,Kepler
Kepler-130 d,Kepler-130,Kepler-130,Transit,2014,1.64,3.33,316.663,Kepler
Kepler-25 b,Kepler-25,Kepler-25,Transit,2011,2.748,8.7,243.249,Kepler
Kepler-25 c,Kepler-25,Kepler-25,Transit,2011,5.217,15.2,243.249,Kepler
Kepler-25 d,Kepler-25,Kepler-25,Radial Velocity,2014,10,71.9,243.249,W. M. Keck Observatory
Kepler-451 c,2MASS J19383260+4603591,2MASS J19383260+4603591,Eclipse Timing Variations,2022,13.5,511.70374,396.332,Multiple Observatories
Kepler-451 d,2MASS J19383260+4603591,2MASS J19383260+4603591,Eclipse Timing Variations,2022,13.5,559.378,396.332,Multiple Observatories
Kepler-47 b,Kepler-47,Kepler-47,Transit,2012,3.05,2.07,1025.02,Kepler
Kepler-47 c,Kepler-47,Kepler-47,Transit,2012,4.65,3.17,1025.02,Kepler
Kepler-47 d,Kepler-47,Kepler-47,Transit,2019,7.04,19.02,1025.02,Kepler
Kepler-68 b,Kepler-68,Kepler-68,Transit,2013,2.354,7.65,144.166,Kepler
Kepler-68 c,Kepler-68,Kepler-68,Transit,2013,0.92,2.04,144.166,Kepler
Kepler-68 d,Kepler-68,Kepler-68,Radial Velocity,2013,13.9,267,144.166,W. M. Keck Observatory
Kepler-83 b,Kepler-83,Kepler-83,Transit,2012,2.83,42.1,400.409,Kepler
Kepler-83 c,Kepler-83,Kepler-83,Transit,2012,2.36,11.4,400.409,Kepler
Kepler-83 d,Kepler-83,Kepler-83,Transit,2014,1.94,24.6,400.409,Kepler
TOI-451 b,TOI-451,TOI-451,Transit,2020,1.91,4.31,123.739,Transiting Exoplanet Survey Satellite (TESS)
TOI-451 c,TOI-451,TOI-451,Transit,2020,3.1,9.8,123.739,Transiting Exoplanet Survey Satellite (TESS)
TOI-451 d,TOI-451,TOI-451,Transit,2020,4.07,15.6,123.739,Transiting Exoplanet Survey Satellite (TESS)
XO-2 N b,XO-2 N,XO-2,Transit,2007,11.131,179.89178,154.273,XO
XO-2 S b,XO-2 S,XO-2,Radial Velocity,2014,10.9,82.6358,151.398,Roque de los Muchachos Observatory
XO-2 S c,XO-2 S,XO-2,Radial Velocity,2014,13.6,435.409,151.398,Roque de los Muchachos Observatory
ups And b,ups And,ups And,Radial Velocity,1996,14,218.531,13.4054,Lick Observatory
ups And c,ups And,ups And,Radial Velocity,1999,12.3,4443.24113,13.4054,Multiple Observatories
ups And d,ups And,ups And,Radial Velocity,1999,12.5,3257.74117,13.4054,Multiple Observatories
GJ 15 A b,GJ 15 A,GJ 15 A,Radial Velocity,2014,1.55,3.03,3.56228,W. M. Keck Observatory
GJ 15 A c,GJ 15 A,GJ 15 A,Radial Velocity,2018,6.67,36,3.56228,Roque de los Muchachos Observatory
GJ 229 A c,GJ 229,GJ 229,Radial Velocity,2020,2.87,8.57613,5.75624,Multiple Facilities
GJ 229 b,GJ 229,GJ 229,Radial Velocity,2014,3.96,14.85045,5.75624,Multiple Observatories
GJ 3473 b,GJ 3473,GJ 3473,Transit,2020,1.264,1.86,27.3644,Transiting Exoplanet Survey Satellite (TESS)
GJ 3473 c,GJ 3473,GJ 3473,Radial Velocity,2020,2.63,7.41,27.3644,Multiple Observatories
GJ 414 A b,GJ 414 A,GJ 414 A,Radial Velocity,2021,2.63,7.6,11.8893,W. M. Keck Observatory
GJ 414 A c,GJ 414 A,GJ 414 A,Radial Velocity,2021,8.4,53.83,11.8893,W. M. Keck Observatory
HD 107148 b,HD 107148,HD 107148,Radial Velocity,2005,9.6,66.741,49.4156,W. M. Keck Observatory
HD 107148 c,HD 107148,HD 107148,Radial Velocity,2021,4.7,19.89606,49.4156,Multiple Observatories
HD 11343 c,HIP 8541,HIP 8541,Radial Velocity,2022,13.9,253.39075,155.121,Multiple Observatories
HD 116029 b,HD 116029,HD 116029,Radial Velocity,2011,13.6,444.962,123.245,W. M. Keck Observatory
HD 116029 c,HD 116029,HD 116029,Radial Velocity,2018,13.7,403.6441,123.245,W. M. Keck Observatory
HD 11964 b,HD 11964,HD 11964,Radial Velocity,2005,14.1,198,33.5369,W. M. Keck Observatory
HD 11964 c,HD 11964,HD 11964,Radial Velocity,2008,5.38,25,33.5369,W. M. Keck Observatory
HD 147873 b,HD 147873,HD 147873,Radial Velocity,2016,12.8,1633.6462,109.055,Multiple Observatories
HD 147873 c,HD 147873,HD 147873,Radial Velocity,2016,13.3,731.009,109.055,Multiple Observatories
HD 177830 b,HD 177830,HD 177830,Radial Velocity,1999,13.5,537.1327,62.7674,W. M. Keck Observatory
HD 177830 c,HD 177830,HD 177830,Radial Velocity,2010,7.87,47.6725,62.7674,W. M. Keck Observatory
HD 190360 b,HD 190360,HD 190360,Radial Velocity,2003,13.4,572.09113,16.0069,Haute-Provence Observatory
HD 190360 c,HD 190360,HD 190360,Radial Velocity,2005,4.59,19.069,16.0069,W. M. Keck Observatory
HD 217786 b,HD 217786,HD 217786,Radial Velocity,2011,12.3,4402.88762,55.4847,La Silla Observatory
HD 217786 c,HD 217786,HD 217786,Radial Velocity,2022,2.62,7.35886,55.4847,Multiple Observatories
HD 38529 b,HD 38529,HD 38529,Radial Velocity,2000,14.1,206.34463,42.3538,Multiple Observatories
HD 38529 c,HD 38529,HD 38529,Radial Velocity,2000,12.4,3320.46746,42.3538,Multiple Observatories
HD 41004 A b,HD 41004 A,HD 41004 A,Radial Velocity,2004,13.2,807.25,36.69117,La Silla Observatory
HD 41004 B b,HD 41004 B,HD 41004 B,Radial Velocity,2003,12.1,5838.29,41.5504,La Silla Observatory
HD 4732 b,HD 4732,HD 4732,Radial Velocity,2012,13.3,753.23,54.7841,Multiple Observatories
HD 4732 c,HD 4732,HD 4732,Radial Velocity,2012,13.3,753.23,54.7841,Multiple Observatories
HD 93963 A b,HD 93963 A,HD 93963 A,Transit,2022,1.35,7.8,82.3432,Transiting Exoplanet Survey Satellite (TESS)
HD 93963 A c,HD 93963 A,HD 93963 A,Transit,2022,3.228,19.2,82.3432,Transiting Exoplanet Survey Satellite (TESS)
HIP 8541 b,HIP 8541,HIP 8541,Radial Velocity,2016,12.6,2621.63107,155.121,Multiple Observatories
HU Aqr AB b,HU Aqr,HU Aqr,Eclipse Timing Variations,2011,12.8,1875.197,192.1980787,Yunnan Astronomical Observatory
HU Aqr AB c,HU Aqr,HU Aqr,Eclipse Timing Variations,2011,12.9,1430.235,192.1980787,Yunnan Astronomical Observatory
Kepler-108 b,Kepler-108,Kepler-108,Transit,2014,8.65,56,338.732,Kepler
Kepler-108 c,Kepler-108,Kepler-108,Transit,2014,8.18,50.9,338.732,Kepler
Kepler-1086 b,Kepler-1086,Kepler-1086,Transit,2016,2.44,6.53,466.084,Kepler
Kepler-1086 c,Kepler-1086,Kepler-1086,Transit,2016,2.94,8.96,466.084,Kepler
Kepler-136 b,Kepler-136,Kepler-136,Transit,2014,2.05,19.8,420.818,Kepler
Kepler-136 c,Kepler-136,Kepler-136,Transit,2014,1.99,4.62,420.818,Kepler
Kepler-333 b,Kepler-333,Kepler-333,Transit,2014,1.32,28.2,324.413,Kepler
Kepler-333 c,Kepler-333,Kepler-333,Transit,2014,1.11,1.41,324.413,Kepler
Kepler-353 b,Kepler-353,Kepler-353,Transit,2014,0.89,0.64,384.694,Kepler
Kepler-353 c,Kepler-353,Kepler-353,Transit,2014,1.38,2.48,384.694,Kepler
Kepler-390 b,Kepler-390,Kepler-390,Transit,2014,0.82,0.477,435.277,Kepler
Kepler-390 c,Kepler-390,Kepler-390,Transit,2014,0.79,0.418,435.277,Kepler
Kepler-432 b,Kepler-432,Kepler-432,Transit,2015,12.834,1719.4603,848.023,Kepler
Kepler-432 c,Kepler-432,Kepler-432,Radial Velocity,2015,13.3,772.3269,848.023,Fred Lawrence Whipple Observatory
Kepler-454 b,Kepler-454,Kepler-454,Transit,2015,2.354,6.05338,230.869,Kepler
Kepler-454 c,Kepler-454,Kepler-454,Radial Velocity,2015,12.9,1417.5218,230.869,Multiple Facilities
Kepler-755 b,Kepler-755,Kepler-755,Transit,2016,1.76,3.75,399.034,Kepler
Kepler-755 c,Kepler-755,Kepler-755,Transit,2016,1.26,2.13,399.034,Kepler
LHS 1678 b,LHS 1678,LHS 1678,Transit,2021,0.696,0.35,19.8782,Transiting Exoplanet Survey Satellite (TESS)
LHS 1678 c,LHS 1678,LHS 1678,Transit,2021,0.982,1.4,19.8782,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780 b,LTT 3780,LTT 3780,Transit,2020,1.332,2.62,21.9814,Transiting Exoplanet Survey Satellite (TESS)
LTT 3780 c,LTT 3780,LTT 3780,Transit,2020,2.3,8.6,21.9814,Transiting Exoplanet Survey Satellite (TESS)
NN Ser c,NN Ser,NN Ser,Eclipse Timing Variations,2010,12.6,2329.6,515.818,Multiple Observatories
NN Ser d,NN Ser,NN Ser,Eclipse Timing Variations,2010,13.3,731,515.818,Multiple Observatories
NY Vir b,NY Vir,NY Vir,Eclipse Timing Variations,2011,13.3,730.978,544.024,Multiple Observatories
NY Vir c,NY Vir,NY Vir,Eclipse Timing Variations,2019,12.8,1760.7782,544.024,Winer Observatory
Pr0211 b,Pr0211,Pr0211,Radial Velocity,2012,13.4,597.5204,182.714,Fred Lawrence Whipple Observatory
Pr0211 c,Pr0211,Pr0211,Radial Velocity,2016,12.6,2475.8957,182.714,Roque de los Muchachos Observatory
TOI-421 b,TOI-421,TOI-421,Transit,2020,2.68,7.17,74.7969,Transiting Exoplanet Survey Satellite (TESS)
TOI-421 c,TOI-421,TOI-421,Transit,2020,5.09,16.42,74.7969,Transiting Exoplanet Survey Satellite (TESS)
UZ For b,UZ For,UZ For,Eclipse Timing Variations,2011,,2002.2,239.6038748,Multiple Observatories
UZ For c,UZ For,UZ For,Eclipse Timing Variations,2011,,2447.2,239.6038748,Multiple Observatories
WASP-18 b,WASP-18,WASP-18,Transit,2009,13.899,3241.84975,123.483,SuperWASP
WASP-18 c,WASP-18,WASP-18,Transit Timing Variations,2019,8.58,55.2,123.483,Transiting Exoplanet Survey Satellite (TESS)
WASP-8 b,WASP-8,WASP-8,Transit,2010,12.666,807.2882,89.9606,SuperWASP
WASP-8 c,WASP-8,WASP-8,Radial Velocity,2013,12.5,3003.37,89.9606,SuperWASP
WASP-94 A b,WASP-94 A,WASP-94 A,Transit,2014,17.71,158.915,211.211,SuperWASP
WASP-94 B b,WASP-94 B,WASP-94 B,Radial Velocity,2014,14.1,196.411,208.696,SuperWASP
11 Com b,11 Com,11 Com,Radial Velocity,2007,12.1,6165.6,93.1846,Xinglong Station
18 Del b,18 Del,18 Del,Radial Velocity,2008,12.5,3273.5,76.222,Okayama Astrophysical Observatory
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2MASS J01033563-5515561 A,Imaging,2013,12.3,4131.79,47.2,Paranal Observatory
42 Dra b,42 Dra,42 Dra,Radial Velocity,2008,13,1233.13,90.6545,Thueringer Landessternwarte Tautenburg
75 Cet b,75 Cet,75 Cet,Radial Velocity,2012,13.1,953.49,82.9613,Okayama Astrophysical Observatory
CoRoT-2 b,CoRoT-2,CoRoT-2,Transit,2008,16.432,1102.82,213.283,CoRoT
CoRoT-9 b,CoRoT-9,CoRoT-9,Transit,2009,11.949,266.9772,412.98,CoRoT
DE CVn b,DE CVn,DE CVn,Eclipse Timing Variations,2018,12.4,3823.2733,30.5225,Multiple Facilities
DMPP-3 A b,DMPP-3 A,DMPP-3 A,Radial Velocity,2019,1.41,2.58,45.23,La Silla Observatory
DP Leo b,DP Leo,DP Leo,Eclipse Timing Variations,2009,12.7,1995.88832,305.684,Yunnan Astronomical Observatory
DS Tuc A b,DS Tuc A,DS Tuc A,Transit,2019,5.7,413.179,44.0622,Transiting Exoplanet Survey Satellite (TESS)
EPIC 246851721 b,EPIC 246851721,EPIC 246851721,Transit,2018,11.781,953.49,372.632,K2
GJ 3021 b,GJ 3021,GJ 3021,Radial Velocity,2000,13.1,1071.04,17.5559,La Silla Observatory
GJ 338 B b,GJ 338 B,GJ 338 B,Radial Velocity,2020,3.25,10.6,6.33256,Calar Alto Observatory
GJ 720 A b,GJ 720 A,GJ 720 A,Radial Velocity,2021,3.77,13.64,15.5575,Roque de los Muchachos Observatory
GJ 86 b,GJ 86,GJ 86,Radial Velocity,1999,12.9,1404.8086,10.7836,La Silla Observatory
GJ 896 A b,GJ 896 A,GJ 896 A,Astrometry,2022,13.3,718.2922,6.26022,Very Long Baseline Array
Gl 49 b,Gl 49,Gl 49,Radial Velocity,2019,2.24,5.63,9.8528,Multiple Observatories
HAT-P-1 b,HAT-P-1,HAT-P-1,Transit,2006,14.785,166.86075,158.979,HATNet
HAT-P-14 b,HAT-P-14,HAT-P-14,Transit,2010,15.917,1093.3352,222.663,HATNet
HAT-P-22 b,HAT-P-22,HAT-P-22,Transit,2010,12.89,785.0401,81.7647,HATNet
HAT-P-24 b,HAT-P-24,HAT-P-24,Transit,2010,14.572,238.3725,415.344,HATNet
HAT-P-27 b,HAT-P-27,HAT-P-27,Transit,2011,11.43,197.05,199.173,HATNet
HAT-P-29 b,HAT-P-29,HAT-P-29,Transit,2011,13.115,279.6904,313.576,HATNet
HAT-P-3 b,HAT-P-3,HAT-P-3,Transit,2007,10.536,206.5895,134.554,HATNet
HAT-P-30 b,HAT-P-30,HAT-P-30,Transit,2011,16.141,263.7989,213.985,HATNet
HAT-P-32 b,HAT-P-32,HAT-P-32,Transit,2011,22.194,216.1244,289.205,HATNet
HAT-P-33 b,HAT-P-33,HAT-P-33,Transit,2011,20.737,292.4036,396.11,HATNet
HAT-P-39 b,HAT-P-39,HAT-P-39,Transit,2012,17.609,190.372,697.004,HATNet
HAT-P-4 b,HAT-P-4,HAT-P-4,Transit,2007,14.28,213.255,320.451,HATNet
HAT-P-41 b,HAT-P-41,HAT-P-41,Transit,2012,22.978,378.2177,348.185,HATNet
