pl_name,hostname,sys_name,discoverymethod,disc_year,pl_rade,pl_bmasse,sy_dist,disc_facility
Kepler-1667 b,Kepler-1667,Kepler-1667,Transit,2020,2.984,9.19,626.819,Kepler
Kepler-1668 b,Kepler-1668,Kepler-1668,Transit,2020,4.348,17.4,1335.64,Kepler
Kepler-1670 b,Kepler-1670,Kepler-1670,Transit,2020,3.356,11.2,2065.98,Kepler
Kepler-1671 b,Kepler-1671,Kepler-1671,Transit,2020,1.326,2.32,357.059,Kepler
Kepler-1672 b,Kepler-1672,Kepler-1672,Transit,2020,2.97,9.11,391.181,Kepler
Kepler-1673 b,Kepler-1673,Kepler-1673,Transit,2020,2.936,8.93,727.187,Kepler
Kepler-1674 b,Kepler-1674,Kepler-1674,Transit,2020,3.206,10.4,1012.48,Kepler
Kepler-1675 b,Kepler-1675,Kepler-1675,Transit,2020,3.125,9.93,651.117,Kepler
Kepler-1676 b,Kepler-1676,Kepler-1676,Transit,2020,3.377,11.3,,Kepler
Kepler-1677 b,Kepler-1677,Kepler-1677,Transit,2020,2.702,7.76,735.369,Kepler
Kepler-1678 b,Kepler-1678,Kepler-1678,Transit,2020,3.304,10.9,847.339,Kepler
Kepler-1679 b,Kepler-1679,Kepler-1679,Transit,2020,2.069,4.93,909.28,Kepler
Kepler-1680 b,Kepler-1680,Kepler-1680,Transit,2020,1.36,2.42,310.315,Kepler
Kepler-1681 b,Kepler-1681,Kepler-1681,Transit,2020,2.553,7.05,758.3,Kepler
Kepler-1682 b,Kepler-1682,Kepler-1682,Transit,2020,2.889,8.7,1159.85,Kepler
Kepler-1683 b,Kepler-1683,Kepler-1683,Transit,2020,1.875,4.17,733.143,Kepler
Kepler-1684 b,Kepler-1684,Kepler-1684,Transit,2020,2.871,8.6,621.996,Kepler
Kepler-1685 b,Kepler-1685,Kepler-1685,Transit,2020,2.577,7.16,1141.89,Kepler
Kepler-1686 b,Kepler-1686,Kepler-1686,Transit,2020,1.426,2.62,729.823,Kepler
Kepler-1687 b,Kepler-1687,Kepler-1687,Transit,2020,1.656,3.38,417.014,Kepler
Kepler-1688 b,Kepler-1688,Kepler-1688,Transit,2020,1.262,2.13,567.4468709,Kepler
Kepler-1689 b,Kepler-1689,Kepler-1689,Transit,2020,0.947,0.799,294.122,Kepler
Kepler-1690 b,Kepler-1690,Kepler-1690,Transit,2020,2.811,8.3,703.789,Kepler
Kepler-1691 b,Kepler-1691,Kepler-1691,Transit,2020,1.835,4.02,1267.67,Kepler
Kepler-1692 b,Kepler-1692,Kepler-1692,Transit,2020,1.112,1.42,591.019,Kepler
Kepler-1694 b,Kepler-1694,Kepler-1694,Transit,2020,1.18,1.76,513.329,Kepler
Kepler-1695 b,Kepler-1695,Kepler-1695,Transit,2020,1.119,1.46,791.175,Kepler
Kepler-1696 b,Kepler-1696,Kepler-1696,Transit,2020,2.81,8.29,1506.36,Kepler
Kepler-1697 b,Kepler-1697,Kepler-1697,Transit,2020,1.26,2.12,247.771,Kepler
